tier,concept,repo_path_or_url,title,words,proposed_page,publishability,why_it_matters
0,C25 appetite,team/humans/dinis_cruz/briefs/06/30/risk-acceptance-and-appetite/v0.33.38__strategy-brief__sg-send-risk-appetite-band-fractal-two-signals-goldilocks-zone-revealed-dataset.md,Risk Appetite: The Band a Company Reveals,1970,/acceptable/,clean,"Appetite as a fractal, revealed band. Two signals. The Goldilocks zone."
0,C26 psychology,team/humans/dinis_cruz/briefs/06/30/risk-acceptance-and-appetite/v0.33.38__strategy-brief__sg-send-risk-acceptance-psychology-accountability-liability-physical-act-revealed-appetite.md,The Psychology of Risk Acceptance,1666,/practice/,clean,Why the physical act matters. Accountability becomes liability; liability becomes the forcing function.
0,C20-C23 the plug,team/humans/dinis_cruz/briefs/07/24/who-can-pull-the-plug/v0.33.51__strategy-brief__sg-send-who-can-pull-the-plug-ability-to-stop-an-ai-system-fractal-maturity-model-detection-authority-blast-radius-reversibility-intersect-in-time.md,Who Can Pull The Plug,3940,/plug/,clean,"Two symmetric risks, fractal maturity model, four-way time intersection, EU AI Act Art 14. Detection floor 12-18h."
0,RAMM,team/humans/dinis_cruz/briefs/07/02/authorization-and-maturity-model/v0.33.40__arch-brief__sg-send-risk-acceptance-maturity-model-ramm-graph-native-levels-agentic-crosswalk.md,RAMM,2265,/ramm/,clean - FIX BASE LEVELS,Five levels as graph predicates plus Agentic RAMM. Only Level 3 has a stated predicate.
0,worked example,team/humans/dinis_cruz/briefs/08/02/vault-as-substrate/v0.33.55__arch-brief__sg-send-end-to-end-worked-example-article-26-5-creditworthiness-agent-fact-to-board.md,"End To End: One Provision, One Agent, One Graph",4272,/examples/article-26-5/,clean - org invented and marked,"8 facts, 5 risks, 4 stakeholders, 9 questions (5 unanswered). The 30-days-vs-6-months arithmetic finding."
0,C1 underwriting,team/humans/dinis_cruz/briefs/06/18/agentic-permissions/v0.33.40__arch-brief__sg-send-risk-acceptance-underwriting-flows-upward-cross-domain-the-risk-already-exists.md,Risk Acceptance as Underwriting,2265,/acceptance/underwriting/,clean,THE FOUNDING INVERSION. The insurance analogy carries it with no GRC background.
0,worked example,team/humans/dinis_cruz/briefs/07/12/worked-business-case/v0.33.48__briefing__sg-send-browser-isolation-agentic-automation-business-case-facts-vulnerabilities-risks-five-levels-graph.md,Browser Isolation Business Case,4601,/examples/browser-isolation/,clean,"59 nodes 75 edges, drop-in renderable. Includes 3 risks OF THE MITIGATION. 5 altitudes."
0,worked example,team/humans/dinis_cruz/briefs/06/26/semantic-graph-and-query-paths/v0.33.35__data__sg-send-2fa-mappings.json,2FA instance graph (DATA),1253,/examples/2fa/,clean - CC BY 4.0 inline,51 nodes 53 edges. THE ONLY DOWNLOADABLE GRAPH. Declares its own principles inside the file.
0,scenarios,team/humans/dinis_cruz/briefs/07/02/risk-acceptance-and-scenarios/v0.33.40__strategy-brief__sg-send-how-long-would-you-accept-risk-scenario-slides-gamified-survey-vault-capture.md,The Ten Scenarios,1621,/examples/scenarios/,clean,"Hook-reveal-punchline, punchline always 'how long?'. The shipped MVP content."
1,C19 blast radius,team/humans/dinis_cruz/briefs/07/05/aws-configuration-risk-engine/v0.33.44__arch-brief__sg-send-aws-iam-config-risk-ontology-taxonomy-nodes-edges-formulas-bridges.md,AWS IAM Config Risk Ontology,2968,/blast-radius/,clean,"6 layers, ~31 node types, 20 edge types (40 readings), 7 Node Type Formulas. AuthorizationClosure as the agentic union."
1,C39 observability,team/humans/dinis_cruz/briefs/07/24/who-can-pull-the-plug/v0.33.51__strategy-brief__sg-send-the-plug-is-a-sledgehammer-blast-radius-and-side-effects-of-pulling-it.md,The Plug Is A Sledgehammer,1384,/plug/,clean,The blast radius and side effects of pulling it - the symmetric risk.
1,C23 recoverability,team/humans/dinis_cruz/briefs/07/24/who-can-pull-the-plug/v0.33.51__strategy-brief__sg-send-what-money-cannot-buy-back-recoverability-the-hard-limit.md,What Money Cannot Buy Back,1714,/plug/,clean,Recoverability as the hard limit. The dimension that separates catastrophic-but-reversible from smaller-and-permanent.
1,C35 do not internalise,team/humans/dinis_cruz/briefs/07/31/keeping-the-register-healthy/v0.33.54__strategy-brief__sg-send-do-not-internalise-the-risk-accountability-without-authority-relocated-not-augmented-mental-load.md,Do Not Internalise The Risk,3338,/practice/,clean,63-76% of security leaders experiencing or witnessing burnout in a single year. The register is the boundary.
1,C36 evidence economy,team/humans/dinis_cruz/briefs/07/05/evidence-economy/v0.33.44__strategy-brief__sg-send-evidence-economy-force-of-proof-fact-certification-two-prices-evidence-based-revenue-models.md,The Force of Proof,1980,/practice/,clean - DEMAND side only,The risk-acceptor / fact-certifier split. Supply side belongs to newsroom.sgit.ai.
1,C41 twins,team/humans/dinis_cruz/briefs/06/26/digital-twins-and-world-models/v0.33.35__arch-brief__sg-send-digital-twins-twin-of-anything-dimensions-discipline-of-reality-simulation-testing.md,Digital Twins of Anything,1593,/ladder/,CITE graphs.sgit.ai,Twins are where the graph stops modelling and continues into a real system. General form belongs to graphs.
1,origin doc,team/humans/dinis_cruz/briefs/06/04/nhi-2.0/v0.32.3__strategy-brief__sg-send-nhi-2.0-risk-management-acceptance-underwriting-roi.md,"NHI 2.0: Risk Management, Acceptance, Underwriting, ROI",3010,/origins/,CITE nhi.sgit.ai,RISK'S ORIGIN DOCUMENT - first appearance of 'the risk already exists'. Lives on nhi.sgit.ai; cite from here.
1,live vault,https://sgit.ai/demos/vaults/risk-graph-explorer/,Risk Graph Explorer (LIVE),0,/examples/vaults/,published,"7 views, 18 facts / 37 risks / 14 provisions in the Exposed preset. Ghosted edges = unanswered. permissions: {}"
1,live vault,https://sgit.ai/demos/vaults/agentic-browser-isolation/,Agentic Browser Isolation (LIVE),0,/examples/vaults/,published,"17 entry points, 5 altitudes, acceptance-gated escalation with NO DENY BUTTON. C2 and C4 on real data."
1,live vault,https://sgit.ai/demos/vaults/risk-mandate/,Risk Mandate vault (LIVE),0,/examples/vaults/,published,"124 files, 98 commits, 8 app entries. The most-committed published vault - the method applied to its own build."
1,live vault,https://sgit.ai/demos/vaults/regulation-graph/,Regulation Graph (LIVE),0,/examples/vaults/,published,"1,523 nodes / 1,944 edges. Supplies Art 9(5), 14, 26(5)/(6) - the provisions the concepts hang on."
1,prior art,https://docs.diniscruz.ai/2025/07/06/finding-the-good-enough-threshold-optimizing-risk-creativity-and-product-decisions.html,Finding the Good Enough Threshold,4924,/acceptable/,PUBLISHED - CC0 at source,The appetite argument before it had the vocabulary. 15 risk-acceptance mentions - highest density on the site.
1,prior art,https://docs.diniscruz.ai/2025/04/02/maturity-modes-vs-traditional-standards-in-application-security.html,Maturity Models vs Traditional Standards,2701,/ramm/,PUBLISHED - CC0 at source,"The ancestor of RAMM, a year early."
2,EU AI Act thread,team/humans/dinis_cruz/briefs/07/28/regulation-graph-and-acceptability/,Regulation graph cluster (4 docs),13895,/acceptable/ (narrow claims only),needs a home decision,"~40,000 words across 4 clusters. Neither risk nor graphs. Risk's claims are narrow: Art 9(5), 14, 26(5)/(6)."
3,vendor assessment,[REDACTED - Tier-3 - see PUBLIC.md],OSMM Assessment 001,2811,HOLD - LEGAL READ,legal read + right of reply,"Names two real vendors and scores both Level 1. Rigorous and sourced - and a legal exposure. Names and path redacted for publication."
3,competitor map,[REDACTED - Tier-3 - see PUBLIC.md],Competitor comparison,2090,DO-NOT-PUBLISH,INTERNAL ONLY,"Competitor map naming two large vendors. Commercial positioning, not research. Names and path redacted for publication."
3,investor,team/humans/dinis_cruz/briefs/06/02/v0.31.9__strategy-brief__sg-send-investment-strategy-why-now-alchemist-guidance.md,Investment strategy,2821,DO-NOT-PUBLISH,INTERNAL ONLY,"Illustrative revenue, valuation and exit figures. Explicitly scenarios, not projections. Figures redacted for publication - see PUBLIC.md."
3,contract,[REDACTED - Tier-3 - see PUBLIC.md],Partnership contract draft,2452,DO-NOT-PUBLISH,INTERNAL ONLY,An actual contract draft with commercial terms.
